company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
Dilip Buildcon,4.0,2.3k,6,137,"Skill Development / Learning, Work Satisfaction",,Average
Flex,4.0,2.3k,79,168,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Average
Walmart,3.9,2.3k,269,379,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Average
UNO Minda,4.0,2.3k,20,146,"Job Security, Skill Development / Learning, Company Culture",,Average
Bajaj Allianz General Insurance,3.9,2.3k,325,81,"Skill Development / Learning, Salary & Benefits",,Average
Statestreet HCL Services,3.3,2.3k,--,205,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Tech Mahindra Business Services,3.4,2.3k,--,262,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
GATI-KWE,4.0,2.2k,3,84,"Skill Development / Learning, Job Security",Promotions / Appraisal,Average
Croma,4.0,2.2k,26,114,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
ElasticRun,3.5,2.2k,8,238,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Capita,3.6,2.2k,65,139,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
HDFC Sales,4.0,2.2k,22,161,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Average
I Process Services,3.9,2.2k,--,87,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
Nokia,4.2,2.2k,194,259,"Work Life Balance, Company Culture, Work Satisfaction",,High
Societe Generale Global Solution Centre,3.9,2.2k,39,240,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Apollo Tyres,4.1,2.2k,7,120,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,High
Sammaan Capital Limited,3.8,2.2k,24,96,,Promotions / Appraisal,Average
Landmark Group,4.0,2.2k,17,131,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Nestle,4.0,2.2k,48,226,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,Average
BlackBuck,3.8,2.1k,4,164,,"Job Security, Promotions / Appraisal",Average
Domino's Pizza,4.0,2.1k,--,85,"Skill Development / Learning, Salary & Benefits",,Average
AGS Health,4.0,2.1k,23,157,"Job Security, Company Culture, Skill Development / Learning",,Average
Max Healthcare,4.1,2.1k,81,113,"Skill Development / Learning, Job Security, Company Culture",,High
Quest Global,3.6,2.1k,96,270,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Blue Dart Express,4.1,2.1k,--,97,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
Suzlon Group,4.1,2.1k,23,118,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,High
Bajaj Electricals,4.0,2.1k,15,116,"Salary & Benefits, Work Life Balance, Company Culture",,Average
KocharTech,4.0,2.1k,16,64,"Skill Development / Learning, Company Culture, Job Security",,Average
Fiserv,3.4,2.1k,26,161,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Axis Direct,3.9,2.1k,10,76,,Promotions / Appraisal,Average
IKS Health,3.6,2.1k,44,219,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
G4S,4.0,2.1k,1,92,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal,Average
Sterlite Technologies,3.8,2.1k,81,157,,"Promotions / Appraisal, Job Security",Average
Capgemini Engineering,3.5,2.1k,105,328,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
McDonald's,4.2,2.1k,1,124,"Skill Development / Learning, Company Culture, Job Security",,High
Zomato,3.7,2.1k,3,299,,"Promotions / Appraisal, Job Security",Average
Britannia,4.1,2.1k,1,154,"Job Security, Skill Development / Learning",,High
Micro Labs,3.7,2.1k,11,120,,"Salary & Benefits, Promotions / Appraisal, Company Culture",Average
XpressBees,3.7,2k,15,146,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Huawei Technologies,4.0,2k,--,110,"Salary & Benefits, Skill Development / Learning",Job Security,Average
Exide Industries,3.5,2k,45,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Shree Cement,3.9,2k,--,144,,Promotions / Appraisal,Average
Patanjali Ayurved,4.0,2k,1,102,"Work Life Balance, Job Security",Promotions / Appraisal,Average
PhonePe,4.0,2k,153,275,Salary & Benefits,,Average
KPMG Global Services,3.6,2k,--,200,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Average
TVS Supply Chain Solutions,3.9,2k,3,124,,"Promotions / Appraisal, Salary & Benefits",Average
Voltas,4.0,2k,5,115,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
KFintech,3.6,2k,7,123,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Mahindra Logistics,4.0,2k,3,114,Skill Development / Learning,Promotions / Appraisal,Average
Fortis Healthcare,4.1,2k,84,121,"Skill Development / Learning, Job Security, Work Life Balance",,High
Yazaki,3.8,2k,1,115,,Promotions / Appraisal,Average
Fujitsu,3.8,2k,93,167,"Work Life Balance, Company Culture",Promotions / Appraisal,Average
Taj Hotels Resorts and Palaces,4.2,2k,38,114,"Job Security, Company Culture, Skill Development / Learning",,High
DS Group,4.1,2k,18,132,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal,High
Simplex Infrastructures,3.3,2k,2,64,,"Salary & Benefits, Promotions / Appraisal, Company Culture",Average
Tractors and Farm Equipment,4.1,2k,15,98,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,High
Indus Towers,3.9,2k,32,161,Salary & Benefits,Promotions / Appraisal,Average
ACT Fibernet,4.0,2k,41,125,"Company Culture, Job Security, Salary & Benefits",,Average
Dalmia Bharat Cement,4.0,2k,--,131,"Job Security, Salary & Benefits, Skill Development / Learning",,Average
Lava International,4.1,2k,1,63,"Skill Development / Learning, Company Culture, Work Life Balance",,High
ZS,3.4,2k,61,440,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Average
Himalaya Wellness,4.1,1.9k,2,99,"Work Life Balance, Company Culture, Skill Development / Learning",,High
VVDN Technologies,3.7,1.9k,16,180,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
SRF,4.2,1.9k,27,168,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Blue Star,4.1,1.9k,27,144,"Company Culture, Skill Development / Learning, Work Satisfaction",,High
State Street Syntel,3.7,1.9k,--,73,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",Average
V-Mart,4.2,1.9k,5,138,"Skill Development / Learning, Job Security, Company Culture",,High
Shell,4.1,1.9k,6,184,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,High
Citicorp,3.7,1.9k,--,267,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Average
Ajanta Pharma,4.1,1.9k,23,106,"Job Security, Work Life Balance, Skill Development / Learning",,High
Tata Elxsi,3.9,1.9k,60,280,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Sonalika Tractors,3.7,1.9k,2,120,,"Promotions / Appraisal, Company Culture, Work Life Balance",Average
Mahindra Rural Housing Finance,4.0,1.9k,8,76,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Average
Ola Cabs,3.4,1.9k,15,139,,"Job Security, Promotions / Appraisal, Company Culture",Average
Aditya Birla Group,4.2,1.9k,6,176,"Job Security, Skill Development / Learning, Company Culture",,High
NoBroker,3.2,1.9k,37,211,,"Promotions / Appraisal, Work Satisfaction, Job Security",Average
Lifestyle,4.4,1.9k,8,62,"Job Security, Skill Development / Learning, Company Culture",,High
Extramarks Education,3.4,1.9k,17,165,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Movate,3.3,1.9k,53,239,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Kalyan Jewellers,4.7,1.9k,29,55,"Company Culture, Salary & Benefits, Job Security",,High
Datamatics Global Services,3.5,1.9k,62,151,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
suzuki motor gujarat,4.2,1.9k,16,161,"Job Security, Salary & Benefits, Company Culture",,High
Kansai Nerolac Paints,3.9,1.8k,--,139,Job Security,Promotions / Appraisal,Average
Info Edge,4.0,1.8k,266,299,"Job Security, Company Culture, Work Life Balance",,Average
Ninjacart,4.0,1.8k,9,91,"Salary & Benefits, Skill Development / Learning, Company Culture",,Average
Cholamandalam MS General Insurance,3.9,1.8k,--,83,,Promotions / Appraisal,Average
MSN Laboratories,3.7,1.8k,26,103,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",Average
Delhi Public School,3.9,1.8k,25,108,Skill Development / Learning,,Average
Parle Agro,4.1,1.8k,16,96,"Job Security, Work Life Balance, Salary & Benefits",,High
Eureka Forbes,3.7,1.8k,--,67,,"Promotions / Appraisal, Job Security, Company Culture",Average
Unacademy,3.0,1.8k,6,191,,"Job Security, Promotions / Appraisal, Work Satisfaction",Below Average
Radisson Hotels,4.0,1.8k,--,66,"Skill Development / Learning, Job Security, Work Life Balance",,Average
Emcure Pharmaceuticals,3.8,1.8k,31,98,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Nokia Networks,4.3,1.8k,--,107,"Company Culture, Work Life Balance, Skill Development / Learning",,High
3i Infotech,3.5,1.8k,24,136,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Foundever,3.7,1.8k,62,133,,"Promotions / Appraisal, Salary & Benefits",Average
Blinkit,3.8,1.8k,1,160,,"Job Security, Promotions / Appraisal",Average
Jindal Stainless,4.2,1.8k,74,164,"Job Security, Skill Development / Learning, Work Life Balance",,High
Cybage,3.9,1.8k,77,184,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Mahindra Holidays & Resorts,3.5,1.8k,31,89,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Average
ICICI Securities,3.9,1.8k,9,136,"Job Security, Skill Development / Learning",,Average
Cloudnine Hospital,4.4,1.8k,--,66,"Skill Development / Learning, Company Culture, Job Security",,High
Life Insurance Corporation of India,4.4,1.8k,2,72,"Work Life Balance, Company Culture, Salary & Benefits",,High
Syngene International,3.9,1.8k,22,151,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Google,4.4,1.8k,16,768,"Company Culture, Salary & Benefits, Work Life Balance",,High
Biocon Limited,3.9,1.8k,8,136,Job Security,Promotions / Appraisal,Average
BT Group,4.0,1.8k,28,162,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
Akums Drugs & Pharmaceuticals Limited,4.3,1.8k,15,104,"Job Security, Skill Development / Learning, Company Culture",,High
Planet Spark,3.7,1.8k,45,343,Skill Development / Learning,Promotions / Appraisal,Average
JCB,4.0,1.8k,--,112,Work Life Balance,Promotions / Appraisal,Average
Indian Railways,4.2,1.7k,--,83,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Myntra,4.0,1.7k,100,194,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
Gallagher,3.8,1.7k,55,197,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Average
GlaxoSmithKline Pharmaceuticals,4.2,1.7k,39,99,"Company Culture, Salary & Benefits, Skill Development / Learning",,High
upGrad,3.8,1.7k,68,195,Salary & Benefits,,Average
Cadila Pharmaceuticals,3.5,1.7k,12,109,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Canara HSBC Life Insurance,3.7,1.7k,16,86,Salary & Benefits,,Average
Adani Power,3.9,1.7k,455,194,"Job Security, Skill Development / Learning, Salary & Benefits",,Average
Care Health Insurance,3.7,1.7k,41,102,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Average
Reliance Trends,4.3,1.7k,--,97,"Skill Development / Learning, Job Security, Company Culture",,High
Fincare Small Finance Bank,4.1,1.7k,--,88,"Job Security, Work Life Balance, Salary & Benefits",,High
Pfizer,4.0,1.7k,56,67,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Rivigo,3.9,1.7k,1,72,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Bharat Financial Inclusion,3.9,1.7k,9,59,"Salary & Benefits, Job Security",,Average
Sobha,3.9,1.7k,33,113,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Intellect Design Arena,4.1,1.7k,1,146,"Job Security, Skill Development / Learning, Company Culture",,High
Whirlpool,4.1,1.7k,7,85,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,High
IntouchCX,3.0,1.7k,33,177,,"Promotions / Appraisal, Job Security, Work Satisfaction",Below Average
RMSI,3.7,1.7k,11,102,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
Renault-Nissan,4.2,1.7k,--,94,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
Raymond Lifestyle Limited,4.1,1.7k,--,86,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,High
Aavas Financiers,3.9,1.7k,43,83,Skill Development / Learning,,Average
Cisco,4.2,1.7k,33,379,"Work Life Balance, Company Culture, Skill Development / Learning",,High
DBS Bank,3.9,1.7k,20,141,"Salary & Benefits, Job Security, Skill Development / Learning",,Average
Shahi Exports,4.0,1.7k,43,93,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Future Retail,4.3,1.7k,--,52,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
Bharti AXA Life Insurance,3.9,1.7k,13,113,Work Life Balance,,Average
Endurance Technologies,3.9,1.7k,2,94,Skill Development / Learning,Promotions / Appraisal,Average
Star Health & Allied Insurance,3.8,1.7k,20,95,,Promotions / Appraisal,Average
Sopra Steria,3.9,1.7k,35,118,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Average
Ambuja Cements,3.9,1.7k,--,100,,Promotions / Appraisal,Average
BHEL,4.2,1.7k,--,102,"Job Security, Work Life Balance, Company Culture",,High
Photon Interactive,4.1,1.7k,240,96,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",,High
Bharat Petroleum,4.2,1.7k,--,145,"Skill Development / Learning, Salary & Benefits, Company Culture",,High
ESAF Small Finance Bank,3.8,1.7k,2,98,,,Average
GVK Emergency Management and Research Institute,3.6,1.7k,24,81,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Straive,3.4,1.6k,23,157,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Average
American Broadcasting Company,4.0,1.6k,4,513,"Work Life Balance, Salary & Benefits, Job Security",,Average
Lodha Group,4.1,1.6k,103,114,"Skill Development / Learning, Company Culture, Salary & Benefits",,High
Hero FinCorp,4.1,1.6k,21,84,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
Bureau Veritas,3.9,1.6k,11,97,"Work Life Balance, Job Security",Promotions / Appraisal,Average
Kia Motors,3.9,1.6k,5,124,,Promotions / Appraisal,Average
Alldigi Tech,3.9,1.6k,17,109,Job Security,Promotions / Appraisal,Average
Force Motors,3.6,1.6k,2,112,,"Promotions / Appraisal, Company Culture, Salary & Benefits",Average
Varroc Group,3.7,1.6k,4,126,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Poonawalla Fincorp,3.8,1.6k,9,51,,Promotions / Appraisal,Average
Optum Global Solutions,4.1,1.6k,--,165,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
CAMS,3.7,1.6k,18,104,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Dhani Loans and Services,3.8,1.6k,4,69,,"Job Security, Promotions / Appraisal",Average
Delphi TVS,4.0,1.6k,--,75,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,Average
Laurus Labs,4.2,1.6k,2,101,"Job Security, Salary & Benefits, Company Culture",,High
Bank of Baroda,3.6,1.6k,--,100,Job Security,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
ITC Hotels,4.1,1.6k,--,79,"Job Security, Skill Development / Learning, Company Culture",,High
Microsoft Corporation,4.1,1.6k,--,546,"Work Life Balance, Company Culture, Skill Development / Learning",,High
Brakes India,4.0,1.6k,4,68,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Average
Cargill,4.1,1.6k,91,92,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,High
Coromandel International,4.1,1.6k,6,89,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,High
SAP,4.2,1.6k,320,291,"Work Life Balance, Company Culture, Job Security",,High
ValueLabs,3.8,1.6k,80,171,Salary & Benefits,,Average
Meesho,3.7,1.6k,213,293,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
Meesho,3.7,1.6k,213,293,Salary & Benefits,"Job Security, Promotions / Appraisal",Average
Niva Bupa Health Insurance Company,3.7,1.6k,7,101,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
Tata Motors Finance,4.1,1.6k,12,62,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,High
Adani Wilmar,4.2,1.6k,14,97,"Job Security, Skill Development / Learning, Company Culture",,High
Renault Nissan Technology & Business Centre India,3.8,1.6k,31,118,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Average
Future Generali India Life Insurance,3.7,1.6k,103,88,,Promotions / Appraisal,Average
Apollo Pharmacy,3.9,1.6k,16,112,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Sify Technologies,3.9,1.6k,21,116,"Skill Development / Learning, Job Security",Promotions / Appraisal,Average
