company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
SMFG India Credit,4.1,3.9k,21,146,"Salary & Benefits, Job Security, Company Culture",,High
TVS Motor,4.0,3.9k,8,297,"Skill Development / Learning, Salary & Benefits, Job Security",,Average
SBI Cards & Payment Services,3.7,3.9k,109,224,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Average
IQVIA,4.0,3.8k,28,441,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Average
Kalpataru Projects International,4.2,3.8k,2,219,"Job Security, Skill Development / Learning, Salary & Benefits",,High
Atos Syntel,3.6,3.8k,21,272,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Optum,4.0,3.8k,30,392,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
Swiggy,3.8,3.8k,116,399,,"Job Security, Promotions / Appraisal",Average
BNY,4.0,3.8k,416,319,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Average
Amdocs,3.9,3.7k,54,503,Company Culture,Promotions / Appraisal,Average
Hewlett Packard Enterprise,4.2,3.7k,28,224,"Company Culture, Work Life Balance, Job Security",,High
State Bank of India,3.8,3.7k,8,229,"Job Security, Salary & Benefits",Work Life Balance,Average
Bosch,4.2,3.6k,--,320,"Company Culture, Work Life Balance, Job Security",,High
CBRE,4.2,3.6k,65,243,"Skill Development / Learning, Job Security, Company Culture",,High
Hyundai Motor India Limited,4.4,3.6k,6,239,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Dell,4.1,3.6k,26,375,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,High
SBI Life Insurance Company,3.8,3.6k,2,212,Job Security,Promotions / Appraisal,Average
JBM Group,4.0,3.6k,22,240,"Job Security, Skill Development / Learning",,Average
Persistent Systems,3.6,3.5k,159,575,,"Promotions / Appraisal, Job Security, Salary & Benefits",Average
Schneider Electric,4.2,3.5k,339,334,"Company Culture, Work Life Balance, Job Security",,High
Ecom Express,3.9,3.5k,21,184,,Promotions / Appraisal,Average
Oyo Rooms,3.3,3.4k,34,221,,"Job Security, Promotions / Appraisal, Work Satisfaction",Average
Bajaj Auto,3.9,3.4k,--,261,Company Culture,Promotions / Appraisal,Average
Marpu Foundation,4.9,3.4k,--,39,"Company Culture, Work Satisfaction, Skill Development / Learning",,High
KEC International,4.1,3.4k,9,280,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,High
Nagarjuna Construction Company,4.2,3.4k,11,285,"Job Security, Salary & Benefits, Skill Development / Learning",,High
Piramal Capital Housing Finance,4.2,3.4k,7,174,"Company Culture, Skill Development / Learning, Work Life Balance",,High
Reliance Communications,4.0,3.4k,--,84,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
ITC Infotech,3.9,3.4k,109,317,"Work Life Balance, Job Security",Promotions / Appraisal,Average
CARS24,3.6,3.3k,73,304,,"Job Security, Promotions / Appraisal",Average
Aditya Birla Fashion and Retail,4.2,3.3k,39,167,"Job Security, Skill Development / Learning, Company Culture",,High
Varun Beverages,4.1,3.3k,70,211,"Job Security, Salary & Benefits",,High
Randstad,3.8,3.2k,40,250,,"Promotions / Appraisal, Job Security",Average
EY Global Delivery Services ( EY GDS),3.6,3.2k,6,669,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",Average
L&T Finance,4.0,3.2k,4,132,"Salary & Benefits, Skill Development / Learning",,Average
Tata Communications,4.1,3.2k,423,239,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,High
John Deere,4.1,3.2k,--,212,"Company Culture, Work Life Balance, Skill Development / Learning",,High
Intas Pharmaceuticals,4.1,3.2k,31,193,"Job Security, Salary & Benefits, Work Life Balance",,High
Royal Enfield,4.2,3.2k,77,142,"Skill Development / Learning, Company Culture, Work Satisfaction",,High
Deutsche Bank,4.0,3.1k,469,339,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Average
LG Electronics,4.0,3.1k,3,180,"Job Security, Skill Development / Learning, Salary & Benefits",,Average
Thermax Limited,4.2,3.1k,59,222,"Job Security, Company Culture, Skill Development / Learning",,High
Team Lease,3.9,3.1k,1,188,,Promotions / Appraisal,Average
Samvardhana Motherson Group,3.8,3.1k,3,206,Job Security,"Promotions / Appraisal, Work Life Balance",Average
